0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:25:29 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:25:29 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:25:29 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:25:29 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:00 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:01 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:01 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:01 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:01 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:02 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:02 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:34 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:35 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:35 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:35 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1247
